0.00033842,0.00033842,0.00033842,1.2313784657602544
0.00000754,0.00000754,0.00000754,8.317752497532534e-06
0.00002351,0.00002351,0.00002351,1.2486675892502057
0.00003100,0.00003100,0.00003100,1.2524505399226458
0.00195413,0.00195413,0.00195413,1.2467526587431825
0.00033842,0.00033842,0.00033842,1.2313784657602544
0.00000754,0.00000754,0.00000754,8.317752497532534e-06
0.00002351,0.00002351,0.00002351,1.2486675892502057
0.00003100,0.00003100,0.00003100,1.2524505399226458
0.00195413,0.00195413,0.00195413,1.2467526587431825
0.00000754,0.00000754,0.00000754,8.317752497532534e-06
0.00195413,0.00195413,0.00195413,1.2467526587431825
0.00003100,0.00003100,0.00003100,1.2524505399226458
0.00002351,0.00002351,0.00002351,1.2486675892502057
0.00033842,0.00033842,0.00033842,1.2313784657602544
